Article Slug,Link Type,Product/Service,Link Position,Status,Clicks,Conversions,Revenue,Notes
best-money-management-books-couples,Amazon,5 Money Personalities; Smart Couples; etc.,comparison-table,リンク挿入済み,,,,tag: focusdividend-22 linkId 追加済み
best-investment-books-beginners,Amazon,Intelligent Investor; Random Walk; etc.,comparison-table,リンク挿入済み,,,,tag: focusdividend-22 linkId 追加済み
best-productivity-books-careers,Amazon,Deep Work; So Good; etc.,comparison-table,リンク挿入済み,,,,tag: focusdividend-22 linkId 追加済み
noise-canceling-headphones-focus,Amazon,Sony XM5; Bose QC Ultra,body-inline,リンク挿入済み,,,,
desk-setup-concentration,Amazon,BenQ ScreenBar,body-inline,リンク挿入済み,,,,
wealth-average-income,Amazon,The Simple Path to Wealth,further-reading,リンク挿入済み,,,,
recover-from-bad-performance-review,Amazon,Radical Candor,further-reading,リンク挿入済み,,,,
stop-measuring-worth-by-output,Amazon,Four Thousand Weeks,further-reading,リンク挿入済み,,,,
morning-routine-apps-comparison,Amazon,The Miracle Morning,further-reading,リンク挿入済み,,,,
negotiate-salary-without-feeling-pushy,Amazon,Never Split the Difference,further-reading,リンク挿入済み,,,,
